epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,4894.07,0.75828,0.68386,0.87287,0.80367,0.66402,0.7098,0.48017,1.12775,1.29604,1.12857,0.000911,0.000911,0.000911
57,4983.33,0.71432,0.6945,0.87644,0.79747,0.67568,0.72142,0.48895,1.12864,1.26539,1.13199,0.0008912,0.0008912,0.0008912
58,5064.39,0.71684,0.70357,0.88152,0.86602,0.69892,0.75077,0.53197,1.1394,1.20308,1.12056,0.0008714,0.0008714,0.0008714
59,5138.92,0.7383,0.70589,0.86797,0.81516,0.67568,0.75691,0.53294,1.10454,1.2262,1.1215,0.0008516,0.0008516,0.0008516
60,5212.38,0.68326,0.651,0.87547,0.81528,0.67568,0.75423,0.53111,1.087,1.23933,1.11,0.0008318,0.0008318,0.0008318
61,5286.9,0.71905,0.64958,0.87831,0.80402,0.67568,0.75316,0.5366,1.08534,1.20968,1.10664,0.000812,0.000812,0.000812
62,5364.27,0.7392,0.73088,0.87992,0.69524,0.75676,0.75009,0.51697,1.12379,1.21412,1.11935,0.0007922,0.0007922,0.0007922
63,5438.47,0.71381,0.62438,0.90537,0.80539,0.67123,0.75065,0.52062,1.12556,1.13821,1.1236,0.0007724,0.0007724,0.0007724
64,5510.71,0.74504,0.64127,0.87351,0.7808,0.7027,0.74732,0.51398,1.18161,1.20654,1.15337,0.0007526,0.0007526,0.0007526
65,5584.79,0.6852,0.65336,0.87481,0.80143,0.67568,0.76128,0.51314,1.2002,1.20066,1.16938,0.0007328,0.0007328,0.0007328
66,5657.33,0.66626,0.57594,0.88704,0.9485,0.62162,0.76046,0.5105,1.2565,1.15363,1.22745,0.000713,0.000713,0.000713
67,5729.57,0.65985,0.62497,0.86952,0.86596,0.69855,0.75329,0.53247,1.22699,1.16758,1.20879,0.0006932,0.0006932,0.0006932
68,5801.46,0.70826,0.59163,0.84936,0.86182,0.67431,0.7483,0.52343,1.1855,1.14319,1.18649,0.0006734,0.0006734,0.0006734
69,5873.8,0.63251,0.59359,0.85236,0.86117,0.67568,0.74275,0.51371,1.1563,1.10093,1.1696,0.0006536,0.0006536,0.0006536
70,5947.02,0.66016,0.60422,0.88364,0.83849,0.70159,0.75496,0.52275,1.10006,1.06831,1.12534,0.0006338,0.0006338,0.0006338
71,6019.24,0.6441,0.58298,0.88002,0.85551,0.67568,0.76935,0.53244,1.14156,1.10156,1.16223,0.000614,0.000614,0.000614
72,6091.66,0.63792,0.58375,0.86071,0.87656,0.67568,0.78187,0.55427,1.11604,1.09799,1.14539,0.0005942,0.0005942,0.0005942
73,6163.67,0.6621,0.57692,0.87746,0.78659,0.72973,0.78249,0.55022,1.12515,1.10691,1.14648,0.0005744,0.0005744,0.0005744
74,6235.99,0.58843,0.54956,0.88157,0.77673,0.75228,0.77428,0.54377,1.13581,1.09997,1.17604,0.0005546,0.0005546,0.0005546
75,6308.05,0.62767,0.60134,0.88575,0.83054,0.67568,0.74758,0.50584,1.12922,1.1179,1.18513,0.0005348,0.0005348,0.0005348
76,6380.96,0.65265,0.55391,0.84676,0.8331,0.67457,0.74045,0.50696,1.16074,1.18685,1.18796,0.000515,0.000515,0.000515
77,6453.12,0.66818,0.56463,0.86074,0.87405,0.62162,0.73912,0.5019,1.13348,1.14702,1.17414,0.0004952,0.0004952,0.0004952
78,6525.1,0.60316,0.54281,0.85743,0.76437,0.7027,0.73779,0.51156,1.12526,1.13498,1.15904,0.0004754,0.0004754,0.0004754
79,6597.19,0.6355,0.56209,0.86236,0.82805,0.67568,0.73556,0.52261,1.08582,1.09185,1.14035,0.0004556,0.0004556,0.0004556
80,6669.97,0.58235,0.53688,0.86194,0.86199,0.67526,0.73882,0.52332,1.1002,1.17248,1.14492,0.0004358,0.0004358,0.0004358
81,6742.49,0.5567,0.54168,0.82723,0.8612,0.67089,0.73897,0.52583,1.11988,1.24799,1.15023,0.000416,0.000416,0.000416
82,6815.71,0.62839,0.54976,0.86158,0.82084,0.67568,0.74382,0.519,1.12609,1.23445,1.16027,0.0003962,0.0003962,0.0003962
83,6888.33,0.54842,0.53167,0.84408,0.84485,0.67568,0.73299,0.51646,1.10263,1.1796,1.15208,0.0003764,0.0003764,0.0003764
84,6961.25,0.55757,0.51902,0.84406,0.89212,0.67068,0.74111,0.50892,1.08312,1.19736,1.14678,0.0003566,0.0003566,0.0003566
85,7034.31,0.63541,0.54704,0.87852,0.89237,0.67236,0.74121,0.50637,1.09481,1.21551,1.15018,0.0003368,0.0003368,0.0003368
86,7107.1,0.58272,0.53113,0.84899,0.86147,0.67568,0.75165,0.50054,1.1292,1.24752,1.16285,0.000317,0.000317,0.000317
87,7180.17,0.57133,0.51033,0.84839,0.91554,0.67568,0.76207,0.50516,1.1462,1.25563,1.16752,0.0002972,0.0002972,0.0002972
